City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Virginia Beach,US,2022-06-13 17:51:44,36.8529,-75.978,97.02,61,40,10.36
156,Roald,NO,2022-06-13 17:53:40,62.5833,6.1333,57.16,93,75,14.97
157,College,US,2022-06-13 17:53:41,64.8569,-147.8028,63.21,63,75,4.61
158,Namwala,ZM,2022-06-13 17:53:41,-15.7504,26.4384,59.9,38,0,4.65
159,Arman,RU,2022-06-13 17:53:42,59.7,150.1667,43.02,93,100,3.58
160,Mogadishu,SO,2022-06-13 17:53:26,2.0371,45.3438,79.36,80,100,18.99
161,Palmer,US,2022-06-13 17:53:43,42.1584,-72.3287,84.24,47,40,11.5
162,Wahiawa,US,2022-06-13 17:53:45,21.5028,-158.0236,77.38,72,75,4.61
163,Neuquen,AR,2022-06-13 17:50:21,-38.9516,-68.0591,49.89,53,0,5.75
164,Port Elizabeth,ZA,2022-06-13 17:53:46,-33.918,25.5701,64.31,58,100,4.61
165,Pokosnoye,RU,2022-06-13 17:53:46,55.5258,101.0536,63.18,71,94,4.79
166,Sakakah,SA,2022-06-13 17:53:47,29.9697,40.2064,92.77,23,0,9.75
167,Dikson,RU,2022-06-13 17:53:47,73.5069,80.5464,30.18,87,100,14.74
168,Teahupoo,PF,2022-06-13 17:53:48,-17.8333,-149.2667,69.76,70,78,20.07
169,Yulara,AU,2022-06-13 17:53:49,-25.2406,130.9889,55.2,35,0,5.61
170,Komsomolskiy,UZ,2022-06-13 17:53:49,40.4272,71.7189,74.12,38,79,4.61
171,Narathiwat,TH,2022-06-13 17:53:50,6.3333,101.75,75.9,94,62,4.0
172,Garoua Boulai,CM,2022-06-13 17:53:51,5.8833,14.55,66.45,89,99,2.13
173,Port-Gentil,GA,2022-06-13 17:53:51,-0.7193,8.7815,80.56,83,40,11.5
174,Airai,TL,2022-06-13 17:53:52,-8.9266,125.4092,57.4,92,88,3.0
175,Barrow,US,2022-06-13 17:53:54,71.2906,-156.7887,36.39,77,61,13.4
176,Teano,IT,2022-06-13 17:53:54,41.2513,14.0665,82.11,55,0,2.89
177,Kano,NG,2022-06-13 17:53:55,12.0001,8.5167,82.29,69,40,5.75
178,Talnakh,RU,2022-06-13 17:53:56,69.4865,88.3972,59.92,63,76,3.51
179,Lamu,KE,2022-06-13 17:53:57,-2.2717,40.902,79.02,80,54,14.0
180,Thompson,CA,2022-06-13 17:53:57,55.7435,-97.8558,73.56,38,20,10.36
181,Kosh-Agach,RU,2022-06-13 17:55:00,50.0,88.6667,54.09,85,97,2.3
