City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Santa Rosa,PH,82.38,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
407,Savannah Bight,HN,80.74,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
408,Dourbali,TD,86.09,overcast clouds,11.81,15.86,
411,Faya,SA,75.31,overcast clouds,18.39,42.45,أبو تركي للوحدات السكنيه
414,Kirakira,SB,78.35,overcast clouds,-10.45,161.92,SanBiz Lodge
415,Port Blair,IN,78.84,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
416,Jalu,LY,86.18,clear sky,29.03,21.55,صاحبة الفخامة
419,Koudougou,BF,80.76,overcast clouds,12.25,-2.37,VAREK OCADES
420,Kuching,MY,75.42,few clouds,1.55,110.33,Hilton Kuching
421,Cecina,IT,83.98,broken clouds,43.31,10.52,Hotel Tornese
424,Lardos,GR,75.02,clear sky,36.09,28.02,Lindos Princess Beach Hotel
426,San Cristobal,VE,80.78,few clouds,7.77,-72.22,Pirineos
429,Siniscola,IT,73.6,few clouds,40.57,9.69,Hotel Sa Tanca E Bore
430,Barinas,VE,77.04,overcast clouds,8.62,-70.21,Hotel Mastranto Suite
433,Assiniboia,CA,89.42,broken clouds,49.63,-105.98,Canalta Hotel Assiniboia
434,Caucaia,BR,85.95,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
436,Tabou,CI,77.79,overcast clouds,4.42,-7.35,hotêl doufoulougou
439,Kimbe,PG,74.3,broken clouds,-5.55,150.14,Kimbe Bay Hotel
440,Sabha,LY,85.1,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
442,Bandar-E Anzali,IR,73.51,few clouds,37.47,49.46,Behesht Talab Hotel
444,Voh,NC,71.15,overcast clouds,-20.97,164.7,Le gîte du Koniambo
445,Trairi,BR,80.8,overcast clouds,-3.28,-39.27,janelas do mar
448,Half Moon Bay,US,73.89,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
449,Fuerte Olimpo,PY,75.45,clear sky,-21.04,-57.87,Hotel Fuerte Olimpo
451,Yenangyaung,MM,80.98,overcast clouds,20.47,94.88,Hotel Country
453,Mahibadhoo,MV,82.81,overcast clouds,3.78,72.97,Omadhoo Inn
455,Luganville,VU,77.29,overcast clouds,-15.53,167.17,The Espiritu Hotel
456,Coahuayana,MX,87.4,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
465,Vada,NL,79.03,broken clouds,51.97,5.67,Fletcher Hotel-Restaurant De Wageningsche Berg
467,Sao Geraldo Do Araguaia,BR,89.94,clear sky,-6.4,-48.55,Hotel Por do Sol
470,Vaitape,PF,79.52,light rain,-16.52,-151.75,Conrad Bora Bora Nui
472,Ugoofaaru,MV,82.49,broken clouds,5.67,73.0,Ungoofaaru Inn
475,Lodja,CD,70.61,broken clouds,-3.48,23.43,
479,Rajgarh,IN,84.02,clear sky,28.63,75.38,Gangster Life Rajgarh Aala Ki
480,Dingle,PH,77.65,moderate rain,11.0,122.67,SEGAYA PROPERTY
481,Bosobolo,CD,70.95,overcast clouds,4.18,19.9,
482,Shetpe,KZ,72.59,clear sky,44.17,52.12,Rtsm Shetpe Analog
484,Mattru,SL,74.17,light rain,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
485,Impfondo,CG,70.36,overcast clouds,1.64,18.07,Auberge La Place de Jules
486,Auki,SB,76.03,broken clouds,-8.77,160.7,Auki Motel
488,Salinas,US,73.99,clear sky,36.68,-121.66,Laurel Inn & Conference Center
491,Shahr-E Babak,IR,80.02,clear sky,30.12,55.12,Duna Ecolodge
493,Manggar,ID,79.23,overcast clouds,-2.88,108.27,Guest Hotel
495,Wuda,CN,78.84,few clouds,39.5,106.71,Grape Sightseeing Garden
497,Atambua,ID,72.01,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
498,Soyo,AO,72.12,overcast clouds,-6.13,12.37,Hospedaria ndozi'ame
500,Siuna,NI,84.16,overcast clouds,13.73,-84.78,Hotel Kaoba
503,Laem Sing,TH,86.14,overcast clouds,12.48,102.07,Laemsing Whitehouse Resort
504,Urubicha,BO,79.29,scattered clouds,-15.38,-62.95,
505,Tevaitoa,PF,79.18,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
